TransactionID	CardID	 TransactionAmount 	 TransactionRevenue 	TransactionDate	SettlementDate	AssignedFeePercentage
1	1087.00	 11 773.00 	 225.62 Kè 	21.01.2023	2023-01-24	1.92%
2	1119.00	 76 251.00 	 953.43 Kè 	26.01.2023	2023-01-28	1.25%
3	1058.00	 66 086.00 	 1 215.44 Kè 	11.01.2023	2023-01-14	1.84%
4	1066.00	 83 096.00 	 1 441.14 Kè 	27.01.2023	2023-01-31	1.73%
5	1148.00	 38 456.00 	 657.88 Kè 	16.01.2023	2023-01-17	1.71%
6	1194.00	 93 485.00 	 1 443.62 Kè 	23.01.2023	2023-01-27	1.54%
7	1196.00	 31 281.00 	 427.84 Kè 	25.01.2023	2023-01-29	1.37%
8	1155.00	 84 734.00 	 1 249.57 Kè 	21.01.2023	2023-01-24	1.47%
9	1138.00	 54 395.00 	 1 030.13 Kè 	05.01.2023	2023-01-06	1.89%
10	1079.00	 86 456.00 	 1 194.57 Kè 	03.01.2023	2023-01-04	1.38%
11	1010.00	 14 778.00 	 284.40 Kè 	26.01.2023	2023-01-28	1.92%
12	1098.00	 20 656.00 	 387.08 Kè 	13.01.2023	2023-01-15	1.87%
13	1048.00	 59 032.00 	 1 144.97 Kè 	15.01.2023	2023-01-17	1.94%
14	1145.00	 16 089.00 	 311.35 Kè 	11.01.2023	2023-01-12	1.94%
15	1059.00	 78 175.00 	 1 174.83 Kè 	07.01.2023	2023-01-09	1.50%
16	1162.00	 22 814.00 	 358.56 Kè 	17.01.2023	2023-01-21	1.57%
17	1179.00	 45 695.00 	 700.91 Kè 	15.01.2023	2023-01-16	1.53%
18	1072.00	 39 096.00 	 609.93 Kè 	23.01.2023	2023-01-26	1.56%
19	1022.00	 86 695.00 	 1 471.39 Kè 	03.01.2023	2023-01-04	1.70%
20	1105.00	 84 687.00 	 992.61 Kè 	23.01.2023	2023-01-25	1.17%
21	1069.00	 44 816.00 	 568.93 Kè 	25.01.2023	2023-01-26	1.27%
22	1078.00	 59 923.00 	 731.06 Kè 	18.01.2023	2023-01-22	1.22%
23	1065.00	 9 095.00 	 91.24 Kè 	23.01.2023	2023-01-27	1.00%
24	1136.00	 61 329.00 	 761.85 Kè 	18.01.2023	2023-01-20	1.24%
25	1177.00	 66 125.00 	 834.66 Kè 	16.01.2023	2023-01-20	1.26%
26	1012.00	 15 214.00 	 274.50 Kè 	09.01.2023	2023-01-10	1.80%
27	1096.00	 85 793.00 	 1 455.94 Kè 	27.01.2023	2023-01-28	1.70%
28	1094.00	 75 715.00 	 1 206.74 Kè 	14.01.2023	2023-01-15	1.59%
29	1132.00	 94 196.00 	 1 021.59 Kè 	13.01.2023	2023-01-16	1.08%
30	1117.00	 39 899.00 	 532.80 Kè 	16.01.2023	2023-01-20	1.34%
31	1049.00	 99 352.00 	 1 496.20 Kè 	07.01.2023	2023-01-09	1.51%
